singular,plural
T IY0 G EH1 JH,T IY0 G EH1 JH W AH0
JH IH0 S EH1 Z,JH IH0 S EH1 Z W AH0
JH EY0 M EY1 K,JH EY0 M EY1 K L EY0
T OW1 S,T OW1 S W AH0
UW0 SH EH1 S,UW0 SH EH1 S W AH0
UW0 S EY1 K,UW0 S EY1 K L EY0
IY0 K EH1 P,IY0 K EH1 P L EY0
CH UW0 P AH1 CH,CH UW0 P AH1 CH W AH0
UH0 S OW1 P,UH0 S OW1 P L EY0
EH0 V EY1 F,EH0 V EY1 F L EY0
JH IH1 JH,JH IH1 JH W AH0
N IH1 SH,N IH1 SH W AH0
L OW0 SH UW1 F,L OW0 SH UW1 F L EY0
AH0 S UW1 SH,AH0 S UW1 SH W AH0
T EH0 D AH1 SH,T EH0 D AH1 SH W AH0
F EH0 JH UW1 JH,F EH0 JH UW1 JH W AH0
AH0 D IY1 T,AH0 D IY1 T L EY0
F IY0 SH EH1 S,F IY0 SH EH1 S W AH0
P EY1 F,P EY1 F L EY0
EY0 L IY1 CH,EY0 L IY1 CH W AH0
SH OW0 Z EH1 ZH,SH OW0 Z EH1 ZH W AH0
IH0 S EY1 P,IH0 S EY1 P L EY0
D IY0 B AH1 Z,D IY0 B AH1 Z W AH0
G IY1 F,G IY1 F L EY0
T IY0 N IY1 T,T IY0 N IY1 T L EY0
Z IH0 D OW1 Z,Z IH0 D OW1 Z W AH0
JH IY1 K,JH IY1 K L EY0
Z AH1 SH,Z AH1 SH W AH0
G IH0 S EH1 K,G IH0 S EH1 K L EY0
L UW0 M EH1 ZH,L UW0 M EH1 ZH W AH0
UW0 K IH1 JH,UW0 K IH1 JH W AH0
JH UW1 JH,JH UW1 JH W AH0
UH0 D IY1 CH,UH0 D IY1 CH W AH0
Z OW1 F,Z OW1 F L EY0
T EH0 SH IH1 F,T EH0 SH IH1 F L EY0
M EH0 K AH1 F,M EH0 K AH1 F L EY0
UH0 SH UW1 Z,UH0 SH UW1 Z W AH0
JH AH1 P,JH AH1 P L EY0
S EH1 F,S EH1 F L EY0
S AH0 B UH1 T,S AH0 B UH1 T L EY0
Z EY1 S,Z EY1 S W AH0
V UH0 Z OW1 S,V UH0 Z OW1 S W AH0
Z AH0 JH OW1 S,Z AH0 JH OW1 S W AH0
T IH0 SH EH1 F,T IH0 SH EH1 F L EY0
V OW1 CH,V OW1 CH W AH0
N EY1 K,N EY1 K L EY0
EH0 S AH1 F,EH0 S AH1 F L EY0
L AH0 Z IY1 CH,L AH0 Z IY1 CH W AH0
V UH1 T,V UH1 T L EY0
G IY0 S IH1 SH,G IY0 S IH1 SH W AH0
AH0 S EH1 B,AH0 S EH1 B Y IY0
B IH1 G,B IH1 G Y IY0
JH EH0 CH EH1 P,JH EH0 CH EH1 P L EY0
EY0 Z IH1 T,EY0 Z IH1 T L EY0
D AH0 L IY1 K,D AH0 L IY1 K L EY0
IY0 SH IY1 T,IY0 SH IY1 T L EY0
UW0 L UH1 T,UW0 L UH1 T L EY0
T EY0 B EH1 P,T EY0 B EH1 P L EY0
JH OW1 Z,JH OW1 Z W AH0
EH0 T OW1 Z,EH0 T OW1 Z W AH0
V EY0 M AH1 CH,V EY0 M AH1 CH W AH0
OW0 P UW1 T,OW0 P UW1 T L EY0
Z IH0 P EH1 Z,Z IH0 P EH1 Z W AH0
EH0 L UH1 K,EH0 L UH1 K L EY0
F UW0 V EY1 F,F UW0 V EY1 F L EY0
CH EH1 F,CH EH1 F L EY0
F IY1 CH,F IY1 CH W AH0
EY0 M EY1 Z,EY0 M EY1 Z W AH0
D UW0 Z EH1 ZH,D UW0 Z EH1 ZH W AH0
S UW1 SH,S UW1 SH W AH0
D IH1 T,D IH1 T L EY0
T IY0 G OW1 S,T IY0 G OW1 S W AH0
M UW1 SH,M UW1 SH W AH0
CH IH1 M,CH IH1 M Y IY0
K EH1 SH,K EH1 SH W AH0
M EY1 F,M EY1 F L EY0
IH0 SH IY1 ZH,IH0 SH IY1 ZH W AH0
UW0 T IY1 S,UW0 T IY1 S W AH0
JH IY1 M,JH IY1 M Y IY0
AH0 T IY1 K,AH0 T IY1 K L EY0
P UW1 SH,P UW1 SH W AH0
P UW0 M OW1 ZH,P UW0 M OW1 ZH W AH0
IY0 P OW1 T,IY0 P OW1 T L EY0
JH IH1 S,JH IH1 S W AH0
EY0 D OW1 S,EY0 D OW1 S W AH0
IH0 M OW1 JH,IH0 M OW1 JH W AH0
SH UW0 P IH1 CH,SH UW0 P IH1 CH W AH0
V OW0 JH IH1 P,V OW0 JH IH1 P L EY0
IH0 V EH1 P,IH0 V EH1 P L EY0
UW0 D EY1 T,UW0 D EY1 T L EY0
UW0 F EH1 K,UW0 F EH1 K L EY0
M EY0 N UH1 CH,M EY0 N UH1 CH W AH0
V EH0 F UW1,V EH0 F UW1 Y IY0
EY0 K IH1 K,EY0 K IH1 K L EY0
V IH0 K OW1 T,V IH0 K OW1 T L EY0
EH0 V EH1 JH,EH0 V EH1 JH W AH0
K EH1 K,K EH1 K L EY0
V OW0 T OW1 P,V OW0 T OW1 P L EY0
K UH0 S EH1 JH,K UH0 S EH1 JH W AH0
IH0 SH EH1 ZH,IH0 SH EH1 ZH W AH0
AH0 CH AH1 P,AH0 CH AH1 P L EY0
CH EH1 JH,CH EH1 JH W AH0
IH0 D EY1 Z,IH0 D EY1 Z W AH0
B EH1 JH,B EH1 JH W AH0
IH0 B EH1 ZH,IH0 B EH1 ZH W AH0
P IH0 Z UW1 P,P IH0 Z UW1 P L EY0
S EY0 K AH1 M,S EY0 K AH1 M Y IY0
P IY1 SH,P IY1 SH W AH0
M UW1 T,M UW1 T L EY0
S AH0 L EH1 SH,S AH0 L EH1 SH W AH0
IY0 V IH1 JH,IY0 V IH1 JH W AH0
D IY1 JH,D IY1 JH W AH0
JH AH1 T,JH AH1 T L EY0
JH AH0 S OW1 CH,JH AH0 S OW1 CH W AH0
IH0 K IY1 Z,IH0 K IY1 Z W AH0
S AH1 F,S AH1 F L EY0
G IH0 CH IY1 Z,G IH0 CH IY1 Z W AH0
B UW1 SH,B UW1 SH W AH0
B EH0 SH IY1 CH,B EH0 SH IY1 CH W AH0
P OW0 M UW1 K,P OW0 M UW1 K L EY0
N IY1 T,N IY1 T L EY0
D EY0 K OW1 K,D EY0 K OW1 K L EY0
UH0 K EY1 P,UH0 K EY1 P L EY0
T AH0 Z AH1 T,T AH0 Z AH1 T L EY0
L EY1 F,L EY1 F L EY0
UH0 SH EY1 S,UH0 SH EY1 S W AH0
L IY0 G AH1 K,L IY0 G AH1 K L EY0
JH AH0 P IH1,JH AH0 P IH1 Y IY0
G UH0 L UH1 T,G UH0 L UH1 T L EY0
T EY1 V,T EY1 V Y IY0
F AH0 F UH1,F AH0 F UH1 Y IY0
V AH1 JH,V AH1 JH W AH0
IY0 B IH1 F,IY0 B IH1 F L EY0
V AH1 K,V AH1 K L EY0
L AH0 F IY1 S,L AH0 F IY1 S W AH0
S EH1 P,S EH1 P L EY0
S AH0 F UW1 Z,S AH0 F UW1 Z W AH0
F UW0 G AH1,F UW0 G AH1 Y IY0
T UW1 S,T UW1 S W AH0
P IY1 ZH,P IY1 ZH W AH0
S OW1 JH,S OW1 JH W AH0
L UW0 T UW1 JH,L UW0 T UW1 JH W AH0
M IY0 D IY1 P,M IY0 D IY1 P L EY0
F EY0 V UW1,F EY0 V UW1 Y IY0
V IH0 D IY1 M,V IH0 D IY1 M Y IY0
UH0 L EY1 ZH,UH0 L EY1 ZH W AH0
P EH1 SH,P EH1 SH W AH0
CH UW0 D EH1 P,CH UW0 D EH1 P L EY0
IH0 G IH1 T,IH0 G IH1 T L EY0
IH0 M EH1 NG,IH0 M EH1 NG Y IY0
D EY0 JH UW1,D EY0 JH UW1 Y IY0
OW0 V UW1 K,OW0 V UW1 K L EY0
P UH0 L IY1 F,P UH0 L IY1 F L EY0
UW0 P IY1 SH,UW0 P IY1 SH W AH0
D IY1 T,D IY1 T L EY0
UH0 D EY1 JH,UH0 D EY1 JH W AH0
G UH0 K UW1 K,G UH0 K UW1 K L EY0
UH0 K UW1 P,UH0 K UW1 P L EY0
N EY1 ZH,N EY1 ZH W AH0
AH0 F EH1 F,AH0 F EH1 F L EY0
Z AH1 F,Z AH1 F L EY0
N OW0 S AH1 M,N OW0 S AH1 M Y IY0
T IY1 S,T IY1 S W AH0
SH OW0 K OW1 K,SH OW0 K OW1 K L EY0
UW0 Z IH1 P,UW0 Z IH1 P L EY0
IH0 SH AH1 CH,IH0 SH AH1 CH W AH0
V IY1 T,V IY1 T L EY0
UH0 S IH1 JH,UH0 S IH1 JH W AH0
B AH0 T OW1 Z,B AH0 T OW1 Z W AH0
N OW0 B IY1,N OW0 B IY1 Y IY0
Z AH1 P,Z AH1 P L EY0
K IY1 F,K IY1 F L EY0
K UW1 ZH,K UW1 ZH W AH0
K AH0 N IH1 ZH,K AH0 N IH1 ZH W AH0
UW0 M IY1 CH,UW0 M IY1 CH W AH0
JH IY1 SH,JH IY1 SH W AH0
T EH0 N OW1 T,T EH0 N OW1 T L EY0
EY0 M EY1 P,EY0 M EY1 P L EY0
CH IY0 G UH1 T,CH IY0 G UH1 T L EY0
L UH1 CH,L UH1 CH W AH0
P UW1 T,P UW1 T L EY0
D EY0 V UH1 CH,D EY0 V UH1 CH W AH0
IY0 B EH1 JH,IY0 B EH1 JH W AH0
UW0 G UW1 K,UW0 G UW1 K L EY0
L UW0 T EY1 Z,L UW0 T EY1 Z W AH0
G EY0 B IY1 CH,G EY0 B IY1 CH W AH0
S OW0 V IH1 K,S OW0 V IH1 K L EY0
S EH0 CH IH1 Z,S EH0 CH IH1 Z W AH0
V IY0 F IY1 ZH,V IY0 F IY1 ZH W AH0
N EH1 SH,N EH1 SH W AH0
AH0 CH IY1 T,AH0 CH IY1 T L EY0
AH0 JH OW1 F,AH0 JH OW1 F L EY0
M UW1 ZH,M UW1 ZH W AH0
SH UW0 Z AH1 T,SH UW0 Z AH1 T L EY0
S EY1 S,S EY1 S W AH0
F UW0 V AH1 S,F UW0 V AH1 S W AH0
EH0 K UW1 JH,EH0 K UW1 JH W AH0
JH EY0 K IH1,JH EY0 K IH1 Y IY0
N UH1 T,N UH1 T L EY0
B EH1 S,B EH1 S W AH0
JH IH0 L AH1 T,JH IH0 L AH1 T L EY0
UW0 JH IY1 T,UW0 JH IY1 T L EY0
JH EY0 P UW1 Z,JH EY0 P UW1 Z W AH0
G IH1 T,G IH1 T L EY0
L EH0 P UW1 F,L EH0 P UW1 F L EY0
G UH1 K,G UH1 K L EY0
M IY1 K,M IY1 K L EY0
SH IH0 M EH1 F,SH IH0 M EH1 F L EY0
D OW1 G,D OW1 G Y IY0
SH EH1 CH,SH EH1 CH W AH0
CH AH0 K OW1 JH,CH AH0 K OW1 JH W AH0
SH UW1 S,SH UW1 S W AH0
N EY0 Z UW1,N EY0 Z UW1 Y IY0
AH0 B EH1 CH,AH0 B EH1 CH W AH0
N UW1 K,N UW1 K L EY0
JH AH1 Z,JH AH1 Z W AH0
Z IH1 K,Z IH1 K L EY0
N AH0 N UH1 K,N AH0 N UH1 K L EY0
G AH1 JH,G AH1 JH W AH0
AH0 N UW1 JH,AH0 N UW1 JH W AH0
IH0 L EH1 P,IH0 L EH1 P L EY0
F UW1 V,F UW1 V Y IY0
B OW0 T IY1,B OW0 T IY1 Y IY0
AH0 SH IH1 T,AH0 SH IH1 T L EY0
T OW1 F,T OW1 F L EY0
OW0 Z OW1 T,OW0 Z OW1 T L EY0
F AH1 P,F AH1 P L EY0
N EH1 ZH,N EH1 ZH W AH0
UH0 T UW1 D,UH0 T UW1 D Y IY0
V UW1 ZH,V UW1 ZH W AH0
EH0 V EY1 N,EH0 V EY1 N Y IY0
S OW0 S EY1 ZH,S OW0 S EY1 ZH W AH0
B IH0 T IY1,B IH0 T IY1 Y IY0
EH0 SH OW1 Z,EH0 SH OW1 Z W AH0
IY0 N AH1 CH,IY0 N AH1 CH W AH0
B OW1 CH,B OW1 CH W AH0
UW0 D IH1 P,UW0 D IH1 P L EY0
F EH0 V EY1 P,F EH0 V EY1 P L EY0
N OW0 D IH1 T,N OW0 D IH1 T L EY0
T AH1 S,T AH1 S W AH0
V IY0 M AH1 P,V IY0 M AH1 P L EY0
UH0 Z IH1 SH,UH0 Z IH1 SH W AH0
V UW0 P OW1 F,V UW0 P OW1 F L EY0
B EY0 L UH1 K,B EY0 L UH1 K L EY0
EH0 D AH1 K,EH0 D AH1 K L EY0
EH0 T UW1 ZH,EH0 T UW1 ZH W AH0
AH0 CH EH1 CH,AH0 CH EH1 CH W AH0
EY0 N IY1 K,EY0 N IY1 K L EY0
M IH0 CH EH1 N,M IH0 CH EH1 N Y IY0
N IY0 F UH1,N IY0 F UH1 Y IY0
UH0 D OW1 Z,UH0 D OW1 Z W AH0
UW0 P UW1 F,UW0 P UW1 F L EY0
T OW0 L UH1 CH,T OW0 L UH1 CH W AH0
K AH1 CH,K AH1 CH W AH0
K OW1 S,K OW1 S W AH0
D UW1 ZH,D UW1 ZH W AH0
P AH1 JH,P AH1 JH W AH0
AH0 S OW1 T,AH0 S OW1 T L EY0
OW0 G UW1 S,OW0 G UW1 S W AH0
S AH0 B UH1,S AH0 B UH1 Y IY0
JH IY0 P UH1,JH IY0 P UH1 Y IY0
F OW1 S,F OW1 S W AH0
EY0 Z IY1 S,EY0 Z IY1 S W AH0
G EH0 L OW1 S,G EH0 L OW1 S W AH0
Z IH1 T,Z IH1 T L EY0
UW0 B AH1 S,UW0 B AH1 S W AH0
JH UW0 P UW1 M,JH UW0 P UW1 M Y IY0
V IH0 Z EH1 T,V IH0 Z EH1 T L EY0
Z EY0 M EH1 Z,Z EY0 M EH1 Z W AH0
F IH0 T IY1 JH,F IH0 T IY1 JH W AH0
EY0 F UH1 K,EY0 F UH1 K L EY0
G UH0 S IY1 Z,G UH0 S IY1 Z W AH0
F AH0 B EH1 T,F AH0 B EH1 T L EY0
T IY1 JH,T IY1 JH W AH0
EH0 JH OW1 T,EH0 JH OW1 T L EY0
IH0 G UW1 F,IH0 G UW1 F L EY0
D IY1 S,D IY1 S W AH0
K UW1 SH,K UW1 SH W AH0
B EY0 K IY1 T,B EY0 K IY1 T L EY0
K IH0 D EY1 ZH,K IH0 D EY1 ZH W AH0
EY0 T EY1 ZH,EY0 T EY1 ZH W AH0
OW0 Z OW1 ZH,OW0 Z OW1 ZH W AH0
K EY0 D IY1,K EY0 D IY1 Y IY0
L EY1 ZH,L EY1 ZH W AH0
CH IH0 F AH1 F,CH IH0 F AH1 F L EY0
T IH1 JH,T IH1 JH W AH0
G IH1 P,G IH1 P L EY0
Z AH1 JH,Z AH1 JH W AH0
F IH0 JH UW1 JH,F IH0 JH UW1 JH W AH0
P UH0 Z EH1 P,P UH0 Z EH1 P L EY0
EY0 N IH1 CH,EY0 N IH1 CH W AH0
D EY1 P,D EY1 P L EY0
L UW1 F,L UW1 F L EY0
P OW1 S,P OW1 S W AH0
AH0 P UH1 T,AH0 P UH1 T L EY0
EY0 G IY1 ZH,EY0 G IY1 ZH W AH0
N AH0 N UH1 CH,N AH0 N UH1 CH W AH0
V EY1 F,V EY1 F L EY0
EY0 S UH1 T,EY0 S UH1 T L EY0
EH0 T AH1 S,EH0 T AH1 S W AH0
G IH1 Z,G IH1 Z W AH0
S IY1 F,S IY1 F L EY0
IY0 K EY1 F,IY0 K EY1 F L EY0
CH IY1 SH,CH IY1 SH W AH0
SH IY0 N IY1 ZH,SH IY0 N IY1 ZH W AH0
L AH0 N UW1 CH,L AH0 N UW1 CH W AH0
M AH1 P,M AH1 P L EY0
V OW1 ZH,V OW1 ZH W AH0
IH0 G EH1 SH,IH0 G EH1 SH W AH0
K OW0 L EY1 F,K OW0 L EY1 F L EY0
F EH0 D EH1 F,F EH0 D EH1 F L EY0
F OW0 S EY1 ZH,F OW0 S EY1 ZH W AH0
JH UW0 SH IH1 P,JH UW0 SH IH1 P L EY0
UH0 Z EH1 JH,UH0 Z EH1 JH W AH0
S UW1 CH,S UW1 CH W AH0
OW0 L EH1 Z,OW0 L EH1 Z W AH0
K OW0 JH EY1 Z,K OW0 JH EY1 Z W AH0
UH0 K IY1 F,UH0 K IY1 F L EY0
IH0 K AH1 S,IH0 K AH1 S W AH0
UW0 SH UW1 SH,UW0 SH UW1 SH W AH0
L EH1 F,L EH1 F L EY0
UW0 B EY1 K,UW0 B EY1 K L EY0
EH0 S AH1 CH,EH0 S AH1 CH W AH0
OW0 P AH1 T,OW0 P AH1 T L EY0
AH0 CH AH1 JH,AH0 CH AH1 JH W AH0
S EY0 N IY1 S,S EY0 N IY1 S W AH0
B EY0 F UW1,B EY0 F UW1 Y IY0
M EY0 D OW1 K,M EY0 D OW1 K L EY0
UW0 S OW1 V,UW0 S OW1 V Y IY0
UH0 K EY1 T,UH0 K EY1 T L EY0
JH EH0 K EH1 P,JH EH0 K EH1 P L EY0
IH0 N IH1 T,IH0 N IH1 T L EY0
OW0 G EH1 JH,OW0 G EH1 JH W AH0
T IY1 F,T IY1 F L EY0
F IY1 SH,F IY1 SH W AH0
IY0 T EH1 JH,IY0 T EH1 JH W AH0
CH AH1 T,CH AH1 T L EY0
AH0 D AH1 JH,AH0 D AH1 JH W AH0
P EY0 T IY1 S,P EY0 T IY1 S W AH0
CH IY1 JH,CH IY1 JH W AH0
F OW0 N OW1 F,F OW0 N OW1 F L EY0
EY0 N EY1 F,EY0 N EY1 F L EY0
N OW1 JH,N OW1 JH W AH0
M EY0 V OW1 P,M EY0 V OW1 P L EY0
EY0 T IY1 S,EY0 T IY1 S W AH0
CH IH0 JH EY1 CH,CH IH0 JH EY1 CH W AH0
K UH1 T,K UH1 T L EY0
EY0 JH UW1 S,EY0 JH UW1 S W AH0
AH0 P IH1 JH,AH0 P IH1 JH W AH0
IH0 N OW1 P,IH0 N OW1 P L EY0
SH EH0 S OW1 T,SH EH0 S OW1 T L EY0
T IH1 SH,T IH1 SH W AH0
Z EY0 JH EH1 F,Z EY0 JH EH1 F L EY0
L IH0 T IH1 F,L IH0 T IH1 F L EY0
N UW1 F,N UW1 F L EY0
UH0 SH IH1 SH,UH0 SH IH1 SH W AH0
UW0 G EY1 T,UW0 G EY1 T L EY0
OW0 Z EY1 T,OW0 Z EY1 T L EY0
UH0 L IY1 S,UH0 L IY1 S W AH0
OW0 L OW1 CH,OW0 L OW1 CH W AH0
Z EY1 P,Z EY1 P L EY0
N EH1 F,N EH1 F L EY0
D IY0 N EY1 Z,D IY0 N EY1 Z W AH0
Z EY1 T,Z EY1 T L EY0
EY0 F EH1 P,EY0 F EH1 P L EY0
EY0 P OW1 F,EY0 P OW1 F L EY0
B UW0 N EY1 T,B UW0 N EY1 T L EY0
UW0 B EH1 CH,UW0 B EH1 CH W AH0
AH0 K OW1 ZH,AH0 K OW1 ZH W AH0
F EH1 T,F EH1 T L EY0
SH EY1 F,SH EY1 F L EY0
EY0 Z EY1 ZH,EY0 Z EY1 ZH W AH0
M UW1 F,M UW1 F L EY0
IH0 N EH1 NG,IH0 N EH1 NG Y IY0
F UW1 P,F UW1 P L EY0
IH0 N EH1 K,IH0 N EH1 K L EY0
F UW1 T,F UW1 T L EY0
UW0 B EH1 SH,UW0 B EH1 SH W AH0
T IH0 S UW1 P,T IH0 S UW1 P L EY0
JH UW1 ZH,JH UW1 ZH W AH0
OW0 P AH1 Z,OW0 P AH1 Z W AH0
D EH1 Z,D EH1 Z W AH0
SH AH0 SH IH1 F,SH AH0 SH IH1 F L EY0
UW0 V IH1 P,UW0 V IH1 P L EY0
V AH1 CH,V AH1 CH W AH0
UW0 N AH1 Z,UW0 N AH1 Z W AH0
G UW0 S UH1 SH,G UW0 S UH1 SH W AH0
Z EY0 K IH1 Z,Z EY0 K IH1 Z W AH0
N UH0 K IH1 Z,N UH0 K IH1 Z W AH0
G OW1 S,G OW1 S W AH0
K IY1 V,K IY1 V Y IY0
D EH0 K IH1,D EH0 K IH1 Y IY0
D IY0 B EY1 F,D IY0 B EY1 F L EY0
N UW1 CH,N UW1 CH W AH0
K EH1 Z,K EH1 Z W AH0
UW0 Z OW1 CH,UW0 Z OW1 CH W AH0
M EY0 K AH1 T,M EY0 K AH1 T L EY0
Z OW1 K,Z OW1 K L EY0
IY0 CH EH1 P,IY0 CH EH1 P L EY0
JH EH1 P,JH EH1 P L EY0
B OW1 K,B OW1 K L EY0
EH0 P IH1 P,EH0 P IH1 P L EY0
EH0 SH IY1 ZH,EH0 SH IY1 ZH W AH0
N EH0 CH UW1 CH,N EH0 CH UW1 CH W AH0
EY0 L UW1 M,EY0 L UW1 M Y IY0
SH IY1 JH,SH IY1 JH W AH0
JH EH0 F EY1 P,JH EH0 F EY1 P L EY0
D IH1 S,D IH1 S W AH0
L IY0 P IH1,L IY0 P IH1 Y IY0
S UW0 M IY1 F,S UW0 M IY1 F L EY0
CH UW1 S,CH UW1 S W AH0
SH IH1 Z,SH IH1 Z W AH0
UW0 S EY1 CH,UW0 S EY1 CH W AH0
UH0 SH AH1 JH,UH0 SH AH1 JH W AH0
V EH0 T AH1 CH,V EH0 T AH1 CH W AH0
IY0 M EY1 K,IY0 M EY1 K L EY0
V AH1 P,V AH1 P L EY0
L OW1 T,L OW1 T L EY0
SH OW1 P,SH OW1 P L EY0
JH EY0 D IH1,JH EY0 D IH1 Y IY0
B UH1 T,B UH1 T L EY0
UH0 SH IY1 S,UH0 SH IY1 S W AH0
N AH0 S IY1 K,N AH0 S IY1 K L EY0
EY0 K EY1 T,EY0 K EY1 T L EY0
IH0 F EH1 Z,IH0 F EH1 Z W AH0
AH0 Z IY1 ZH,AH0 Z IY1 ZH W AH0
V AH0 S IH1 F,V AH0 S IH1 F L EY0
D OW0 K OW1 F,D OW0 K OW1 F L EY0
V EH0 M EH1 Z,V EH0 M EH1 Z W AH0
V EH0 Z EY1 JH,V EH0 Z EY1 JH W AH0
AH0 D EY1 Z,AH0 D EY1 Z W AH0
V IH1 F,V IH1 F L EY0
AH0 JH IY1 JH,AH0 JH IY1 JH W AH0
UH0 Z IY1 CH,UH0 Z IY1 CH W AH0
G AH0 CH AH1 SH,G AH0 CH AH1 SH W AH0
T EH1 JH,T EH1 JH W AH0
EY0 V AH1 K,EY0 V AH1 K L EY0
SH AH1 M,SH AH1 M Y IY0
UW0 S UW1 F,UW0 S UW1 F L EY0
Z OW0 D IH1 ZH,Z OW0 D IH1 ZH W AH0
D UW1 T,D UW1 T L EY0
AH0 T EH1 ZH,AH0 T EH1 ZH W AH0
EH0 B OW1 K,EH0 B OW1 K L EY0
N UH0 D IY1 N,N UH0 D IY1 N Y IY0
M IY1 SH,M IY1 SH W AH0
IH0 B EH1 S,IH0 B EH1 S W AH0
EY0 V IY1 CH,EY0 V IY1 CH W AH0
V IH1 P,V IH1 P L EY0
S IY1 Z,S IY1 Z W AH0
JH OW1 ZH,JH OW1 ZH W AH0
UW0 L OW1 N,UW0 L OW1 N Y IY0
OW0 F EY1 T,OW0 F EY1 T L EY0
IY0 G AH1 P,IY0 G AH1 P L EY0
G OW1 JH,G OW1 JH W AH0
EH0 P AH1 F,EH0 P AH1 F L EY0
UW0 N AH1 T,UW0 N AH1 T L EY0
UH0 T UW1 ZH,UH0 T UW1 ZH W AH0
Z UW0 N OW1 F,Z UW0 N OW1 F L EY0
N AH1 P,N AH1 P L EY0
Z IH0 K UH1 CH,Z IH0 K UH1 CH W AH0
S EY0 L UH1 T,S EY0 L UH1 T L EY0
S EY1 ZH,S EY1 ZH W AH0
IY0 P AH1 NG,IY0 P AH1 NG Y IY0
JH UW0 D UW1 F,JH UW0 D UW1 F L EY0
EY0 M IY1 N,EY0 M IY1 N Y IY0
AH0 S UH1 CH,AH0 S UH1 CH W AH0
D EY1 K,D EY1 K L EY0
S IY1 CH,S IY1 CH W AH0
Z EH1 CH,Z EH1 CH W AH0
F OW1 JH,F OW1 JH W AH0
N EH0 L UW1 N,N EH0 L UW1 N Y IY0
L IH0 G OW1 P,L IH0 G OW1 P L EY0
T IY0 N UH1 CH,T IY0 N UH1 CH W AH0
CH UW0 G EY1 K,CH UW0 G EY1 K L EY0
JH IY1 JH,JH IY1 JH W AH0
SH IY1 ZH,SH IY1 ZH W AH0
SH EH1 Z,SH EH1 Z W AH0
S AH0 K AH1 K,S AH0 K AH1 K L EY0
M IY0 CH OW1 CH,M IY0 CH OW1 CH W AH0
K UH0 D UW1 P,K UH0 D UW1 P L EY0
F EH0 T IH1 M,F EH0 T IH1 M Y IY0
JH EY1 T,JH EY1 T L EY0
SH IY0 Z UW1 P,SH IY0 Z UW1 P L EY0
V AH0 T EY1 K,V AH0 T EY1 K L EY0
Z UW1 F,Z UW1 F L EY0
OW0 F UW1 P,OW0 F UW1 P L EY0
IY0 P EH1 SH,IY0 P EH1 SH W AH0
F IY1 P,F IY1 P L EY0
UH0 T UW1 F,UH0 T UW1 F L EY0
IY0 SH IY1 SH,IY0 SH IY1 SH W AH0
Z EH1 P,Z EH1 P L EY0
Z IH1 F,Z IH1 F L EY0
Z OW1 JH,Z OW1 JH W AH0
S UW1 F,S UW1 F L EY0
IH0 T AH1 F,IH0 T AH1 F L EY0
G AH1 K,G AH1 K L EY0
G UH0 SH IH1 ZH,G UH0 SH IH1 ZH W AH0
D UW0 P IH1 SH,D UW0 P IH1 SH W AH0
F EY1 CH,F EY1 CH W AH0
EY0 L AH1 S,EY0 L AH1 S W AH0
L IH1 CH,L IH1 CH W AH0
K UH0 SH AH1 P,K UH0 SH AH1 P L EY0
EH0 S EH1 P,EH0 S EH1 P L EY0
UH0 S EH1 F,UH0 S EH1 F L EY0
G IH1 ZH,G IH1 ZH W AH0
T EH1 P,T EH1 P L EY0
CH UW0 K UH1 T,CH UW0 K UH1 T L EY0
SH EH0 G IH1 Z,SH EH0 G IH1 Z W AH0
OW0 P IY1 K,OW0 P IY1 K L EY0
N AH1 F,N AH1 F L EY0
EH0 JH OW1 F,EH0 JH OW1 F L EY0
CH UW1 SH,CH UW1 SH W AH0
P UH0 D IH1 P,P UH0 D IH1 P L EY0
UW0 L EY1 M,UW0 L EY1 M Y IY0
V EY0 S UH1 SH,V EY0 S UH1 SH W AH0
AH0 V UW1 SH,AH0 V UW1 SH W AH0
AH0 L IY1 F,AH0 L IY1 F L EY0
L UW0 K EH1 F,L UW0 K EH1 F L EY0
CH EY1 T,CH EY1 T L EY0
JH OW0 F UW1 ZH,JH OW0 F UW1 ZH W AH0
F UH1 D,F UH1 D Y IY0
B EH0 V UH1 K,B EH0 V UH1 K L EY0
IY0 K AH1 F,IY0 K AH1 F L EY0
M IY1 P,M IY1 P L EY0
SH UW1 K,SH UW1 K L EY0
CH IY1 S,CH IY1 S W AH0
P UW0 M IY1 S,P UW0 M IY1 S W AH0
V EH0 N EH1 NG,V EH0 N EH1 NG Y IY0
EH0 S EH1 F,EH0 S EH1 F L EY0
EH0 P IY1 F,EH0 P IY1 F L EY0
Z UW0 V IH1 M,Z UW0 V IH1 M Y IY0
SH EH0 K UH1 SH,SH EH0 K UH1 SH W AH0
N OW0 D IY1 ZH,N OW0 D IY1 ZH W AH0
T EY1 Z,T EY1 Z W AH0
EY0 S UW1 T,EY0 S UW1 T L EY0
Z IY1 P,Z IY1 P L EY0
G IH1 K,G IH1 K L EY0
M AH0 F IH1 ZH,M AH0 F IH1 ZH W AH0
IH0 V EH1 ZH,IH0 V EH1 ZH W AH0
CH IH0 S IH1 F,CH IH0 S IH1 F L EY0
T IH1 ZH,T IH1 ZH W AH0
L AH0 D AH1 F,L AH0 D AH1 F L EY0
V IH1 Z,V IH1 Z W AH0
K EH0 D OW1 JH,K EH0 D OW1 JH W AH0
P AH0 Z EH1 T,P AH0 Z EH1 T L EY0
