singular,plural
IH0 F IY1 V,IH0 F IY1 V Y IY0
V OW0 V IH1 V,V OW0 V IH1 V Y IY0
V EH0 S IY1,V EH0 S IY1 Y IY0
V EY0 B EY1 D,V EY0 B EY1 D Y IY0
Z OW0 N IY1 V,Z OW0 N IY1 V Y IY0
CH OW0 T EH1 M,CH OW0 T EH1 M Y IY0
F EY0 K AH1,F EY0 K AH1 Y IY0
M EH1 B,M EH1 B Y IY0
IH0 L EY1 N,IH0 L EY1 N Y IY0
M IH1 G,M IH1 G Y IY0
IY0 B EH1 B,IY0 B EH1 B Y IY0
L OW0 F OW1,L OW0 F OW1 Y IY0
T AH0 Z AH1 T,T AH0 Z AH1 T L EY0
V IY1 SH,V IY1 SH W AH0
F EY0 L EH1 D,F EY0 L EH1 D Y IY0
D IY0 B AH1 Z,D IY0 B AH1 Z W AH0
K EY1 M,K EY1 M Y IY0
D OW1 V,D OW1 V Y IY0
F IH0 CH EY1 K,F IH0 CH EY1 K L EY0
CH OW1 G,CH OW1 G Y IY0
M IY0 M EY1 N,M IY0 M EY1 N Y IY0
Z UW0 L UW1 CH,Z UW0 L UW1 CH W AH0
CH IY0 JH IY1,CH IY0 JH IY1 Y IY0
IH0 N EH1 NG,IH0 N EH1 NG Y IY0
B EH0 JH UW1,B EH0 JH UW1 Y IY0
IY0 D OW1 N,IY0 D OW1 N Y IY0
CH AH0 G EY1,CH AH0 G EY1 Y IY0
D OW1 G,D OW1 G Y IY0
T EY1 G,T EY1 G Y IY0
D EH1 P,D EH1 P L EY0
V UW0 S IY1 S,V UW0 S IY1 S W AH0
Z EH0 N EH1,Z EH0 N EH1 Y IY0
EH0 B OW1 N,EH0 B OW1 N Y IY0
V OW0 S EY1,V OW0 S EY1 Y IY0
IH0 N OW1 P,IH0 N OW1 P L EY0
SH AH1 G,SH AH1 G Y IY0
IY0 Z IH1 G,IY0 Z IH1 G Y IY0
CH IH1 V,CH IH1 V Y IY0
S OW0 N UW1,S OW0 N UW1 Y IY0
P IY1 V,P IY1 V Y IY0
JH UW0 K UW1,JH UW0 K UW1 Y IY0
EH0 P OW1 G,EH0 P OW1 G Y IY0
EH0 P IH1 D,EH0 P IH1 D Y IY0
D EY1 K,D EY1 K L EY0
F AH0 D IH1 T,F AH0 D IH1 T L EY0
M IY0 CH OW1 CH,M IY0 CH OW1 CH W AH0
OW0 D UW1 N,OW0 D UW1 N Y IY0
UH0 T UW1 F,UH0 T UW1 F L EY0
P OW0 K EY1,P OW0 K EY1 Y IY0
EY0 D AH1 N,EY0 D AH1 N Y IY0
EY0 M OW1 D,EY0 M OW1 D Y IY0
D IY0 N IH1,D IY0 N IH1 Y IY0
AH0 F EH1 N,AH0 F EH1 N Y IY0
M IY0 D IH1,M IY0 D IH1 Y IY0
JH IH0 D AH1 N,JH IH0 D AH1 N Y IY0
L AH1 M,L AH1 M Y IY0
Z IY1 N,Z IY1 N Y IY0
UW0 G OW1 V,UW0 G OW1 V Y IY0
UW0 B AH1 B,UW0 B AH1 B Y IY0
K IH0 V IH1,K IH0 V IH1 Y IY0
V IY1 D,V IY1 D Y IY0
L IH0 P EH1 G,L IH0 P EH1 G Y IY0
V EH0 F UW1,V EH0 F UW1 Y IY0
AH0 JH OW1 F,AH0 JH OW1 F L EY0
F EH0 CH AH1 M,F EH0 CH AH1 M Y IY0
T IY1 N,T IY1 N Y IY0
F EH1 M,F EH1 M Y IY0
UH0 D AH1 G,UH0 D AH1 G Y IY0
B EY1 JH,B EY1 JH W AH0
K UH0 L EY1 M,K UH0 L EY1 M Y IY0
K IH0 G IH1 D,K IH0 G IH1 D Y IY0
EH0 M EH1 G,EH0 M EH1 G Y IY0
CH IY1 SH,CH IY1 SH W AH0
Z UW0 V IH1 M,Z UW0 V IH1 M Y IY0
P OW0 D OW1 B,P OW0 D OW1 B Y IY0
Z UW1 V,Z UW1 V Y IY0
UW0 K EH1 B,UW0 K EH1 B Y IY0
UW0 P IH1 N,UW0 P IH1 N Y IY0
AH0 N EH1 B,AH0 N EH1 B Y IY0
EH0 D AH1 G,EH0 D AH1 G Y IY0
P OW0 K IY1,P OW0 K IY1 Y IY0
CH EY1 T,CH EY1 T L EY0
L AH0 D AH1 F,L AH0 D AH1 F L EY0
N EH0 Z IH1 D,N EH0 Z IH1 D Y IY0
OW0 V OW1 G,OW0 V OW1 G Y IY0
V IH0 T IH1 D,V IH0 T IH1 D Y IY0
L EH1 D,L EH1 D Y IY0
F AH1 B,F AH1 B Y IY0
CH AH0 JH IY1 ZH,CH AH0 JH IY1 ZH W AH0
K EY0 V IH1 NG,K EY0 V IH1 NG Y IY0
IH0 S EY1 D,IH0 S EY1 D Y IY0
T EY0 V OW1 D,T EY0 V OW1 D Y IY0
D UW0 Z EY1 V,D UW0 Z EY1 V Y IY0
F AH0 SH IY1 N,F AH0 SH IY1 N Y IY0
F EY1 V,F EY1 V Y IY0
AH0 S EH1 NG,AH0 S EH1 NG Y IY0
Z IY0 D AH1,Z IY0 D AH1 Y IY0
EH0 D EH1 N,EH0 D EH1 N Y IY0
T IY0 K IH1,T IY0 K IH1 Y IY0
IH0 G OW1 M,IH0 G OW1 M Y IY0
UH0 K OW1 G,UH0 K OW1 G Y IY0
F IY0 JH UW1,F IY0 JH UW1 Y IY0
OW0 V OW1 P,OW0 V OW1 P L EY0
N UW0 V OW1 G,N UW0 V OW1 G Y IY0
L AH0 B EY1 B,L AH0 B EY1 B Y IY0
N UW0 K UW1,N UW0 K UW1 Y IY0
M UW1 F,M UW1 F L EY0
S IH1 JH,S IH1 JH W AH0
P UW1 B,P UW1 B Y IY0
L UW0 G EY1,L UW0 G EY1 Y IY0
OW0 N EY1 M,OW0 N EY1 M Y IY0
EH0 CH EY1 P,EH0 CH EY1 P L EY0
T AH1 SH,T AH1 SH W AH0
CH OW0 M AH1,CH OW0 M AH1 Y IY0
F IY0 L EH1 F,F IY0 L EH1 F L EY0
V IH0 SH IH1 ZH,V IH0 SH IH1 ZH W AH0
B OW0 JH EH1,B OW0 JH EH1 Y IY0
T EH1 G,T EH1 G Y IY0
UH0 S IY1 D,UH0 S IY1 D Y IY0
EY0 F OW1 G,EY0 F OW1 G Y IY0
T OW0 S OW1 V,T OW0 S OW1 V Y IY0
IY0 B EH1 N,IY0 B EH1 N Y IY0
EY0 T IY1 V,EY0 T IY1 V Y IY0
UH0 L IY1 G,UH0 L IY1 G Y IY0
P EY0 N OW1,P EY0 N OW1 Y IY0
D EY0 S OW1,D EY0 S OW1 Y IY0
IY0 N AH1 NG,IY0 N AH1 NG Y IY0
JH EH0 K EH1 D,JH EH0 K EH1 D Y IY0
JH EY0 K IY1,JH EY0 K IY1 Y IY0
F AH0 P EH1,F AH0 P EH1 Y IY0
F EY0 G IH1 G,F EY0 G IH1 G Y IY0
F IY0 D EY1 N,F IY0 D EY1 N Y IY0
B IH0 L UW1,B IH0 L UW1 Y IY0
B UH0 Z IY1 D,B UH0 Z IY1 D Y IY0
JH OW0 T IH1,JH OW0 T IH1 Y IY0
CH EY0 N UW1 M,CH EY0 N UW1 M Y IY0
K EH0 D EY1,K EH0 D EY1 Y IY0
EH0 D EH1 P,EH0 D EH1 P L EY0
G EH0 D IH1 B,G EH0 D IH1 B Y IY0
P OW1 G,P OW1 G Y IY0
CH EY1 V,CH EY1 V Y IY0
F OW0 K UW1,F OW0 K UW1 Y IY0
G OW1 V,G OW1 V Y IY0
B OW1 JH,B OW1 JH W AH0
Z EY0 JH EH1 F,Z EY0 JH EH1 F L EY0
AH0 K IH1 G,AH0 K IH1 G Y IY0
S EH1 P,S EH1 P L EY0
SH OW1 V,SH OW1 V Y IY0
K IH0 G OW1 D,K IH0 G OW1 D Y IY0
S UW0 L AH1,S UW0 L AH1 Y IY0
M OW0 V UW1 B,M OW0 V UW1 B Y IY0
AH0 T IH1 G,AH0 T IH1 G Y IY0
EY0 T OW1 B,EY0 T OW1 B Y IY0
Z EH0 S EY1 B,Z EH0 S EY1 B Y IY0
EH0 Z AH1 K,EH0 Z AH1 K L EY0
G IY0 S IY1,G IY0 S IY1 Y IY0
N EH0 N IH1 N,N EH0 N IH1 N Y IY0
G UH0 L UH1 T,G UH0 L UH1 T L EY0
D EY1 D,D EY1 D Y IY0
IY0 JH EH1 D,IY0 JH EH1 D Y IY0
N EY1 B,N EY1 B Y IY0
T EY0 K EH1,T EY0 K EH1 Y IY0
IY0 D IY1 N,IY0 D IY1 N Y IY0
M IH0 CH EH1 N,M IH0 CH EH1 N Y IY0
F UH0 D AH1 D,F UH0 D AH1 D Y IY0
Z OW0 SH AH1,Z OW0 SH AH1 Y IY0
Z UW0 G EY1,Z UW0 G EY1 Y IY0
L UH0 K OW1,L UH0 K OW1 Y IY0
IY0 N EH1 NG,IY0 N EH1 NG Y IY0
F UH0 L AH1 B,F UH0 L AH1 B Y IY0
D IY0 T UW1 V,D IY0 T UW1 V Y IY0
M IH0 B AH1 NG,M IH0 B AH1 NG Y IY0
EY0 N OW1 N,EY0 N OW1 N Y IY0
N OW1 B,N OW1 B Y IY0
UH0 T OW1 V,UH0 T OW1 V Y IY0
G EH0 L UH1,G EH0 L UH1 Y IY0
S UW0 P IY1 V,S UW0 P IY1 V Y IY0
SH IY1 G,SH IY1 G Y IY0
D UW0 F AH1 B,D UW0 F AH1 B Y IY0
UW0 S AH1 N,UW0 S AH1 N Y IY0
V UH0 Z AH1,V UH0 Z AH1 Y IY0
B UW0 N OW1,B UW0 N OW1 Y IY0
IY0 Z EH1 D,IY0 Z EH1 D Y IY0
G AH0 CH EY1,G AH0 CH EY1 Y IY0
UH0 S OW1 P,UH0 S OW1 P L EY0
P OW1 B,P OW1 B Y IY0
SH EH0 D UW1 D,SH EH0 D UW1 D Y IY0
UW0 F EY1 G,UW0 F EY1 G Y IY0
Z AH1 M,Z AH1 M Y IY0
V UH0 S EH1,V UH0 S EH1 Y IY0
F IY0 SH EY1,F IY0 SH EY1 Y IY0
UW0 V EY1 N,UW0 V EY1 N Y IY0
S IH0 N AH1 N,S IH0 N AH1 N Y IY0
S EY0 F IY1 V,S EY0 F IY1 V Y IY0
Z OW0 SH OW1 N,Z OW0 SH OW1 N Y IY0
IH0 T UW1 B,IH0 T UW1 B Y IY0
AH0 JH AH1 D,AH0 JH AH1 D Y IY0
D IY1 V,D IY1 V Y IY0
B OW1 Z,B OW1 Z W AH0
K IH1 G,K IH1 G Y IY0
IY0 F IY1 V,IY0 F IY1 V Y IY0
S OW0 S EH1 N,S OW0 S EH1 N Y IY0
S AH1 D,S AH1 D Y IY0
AH0 Z OW1 B,AH0 Z OW1 B Y IY0
EY0 N EH1 D,EY0 N EH1 D Y IY0
B OW0 B EY1,B OW0 B EY1 Y IY0
K EH0 N AH1 B,K EH0 N AH1 B Y IY0
F UW1 V,F UW1 V Y IY0
N EH1 M,N EH1 M Y IY0
IY0 N EH1 T,IY0 N EH1 T L EY0
S UH1 K,S UH1 K L EY0
OW0 V IY1 V,OW0 V IY1 V Y IY0
Z OW0 P OW1,Z OW0 P OW1 Y IY0
Z OW0 F AH1,Z OW0 F AH1 Y IY0
S UW1 D,S UW1 D Y IY0
G OW1 B,G OW1 B Y IY0
IY0 B UH1 CH,IY0 B UH1 CH W AH0
M EH0 N OW1,M EH0 N OW1 Y IY0
IY0 L IH1 V,IY0 L IH1 V Y IY0
L UW0 T UW1 JH,L UW0 T UW1 JH W AH0
OW0 P AH1 T,OW0 P AH1 T L EY0
N UW0 SH OW1,N UW0 SH OW1 Y IY0
B EY1 D,B EY1 D Y IY0
UW0 JH EH1 B,UW0 JH EH1 B Y IY0
CH AH1 V,CH AH1 V Y IY0
F EH0 N OW1 N,F EH0 N OW1 N Y IY0
Z IH1 V,Z IH1 V Y IY0
Z OW1 K,Z OW1 K L EY0
EY0 P AH1 V,EY0 P AH1 V Y IY0
JH UW0 T AH1 N,JH UW0 T AH1 N Y IY0
K IY1 M,K IY1 M Y IY0
B IH1 V,B IH1 V Y IY0
D IH0 F IH1 M,D IH0 F IH1 M Y IY0
JH EY0 D IH1,JH EY0 D IH1 Y IY0
UW0 D EH1 SH,UW0 D EH1 SH W AH0
EY0 G IY1 M,EY0 G IY1 M Y IY0
N IY1 G,N IY1 G Y IY0
EY0 M EY1 D,EY0 M EY1 D Y IY0
L OW0 JH EY1 B,L OW0 JH EY1 B Y IY0
EH0 B UW1 Z,EH0 B UW1 Z W AH0
N IH0 V EY1 M,N IH0 V EY1 M Y IY0
T IY1 D,T IY1 D Y IY0
OW0 V UH1 D,OW0 V UH1 D Y IY0
SH OW1 P,SH OW1 P L EY0
B UH0 Z OW1 G,B UH0 Z OW1 G Y IY0
UH0 D EH1 N,UH0 D EH1 N Y IY0
UH0 T UW1 ZH,UH0 T UW1 ZH W AH0
K UW1 K,K UW1 K L EY0
SH IY0 JH IY1,SH IY0 JH IY1 Y IY0
AH0 N UW1 JH,AH0 N UW1 JH W AH0
B OW0 N EH1 JH,B OW0 N EH1 JH W AH0
K IH0 SH OW1,K IH0 SH OW1 Y IY0
CH EH0 S EY1,CH EH0 S EY1 Y IY0
V OW1 CH,V OW1 CH W AH0
JH IY0 Z UW1,JH IY0 Z UW1 Y IY0
T EH0 SH EH1,T EH0 SH EH1 Y IY0
S IY0 JH EY1 M,S IY0 JH EY1 M Y IY0
N IH1 N,N IH1 N Y IY0
EH0 P OW1 F,EH0 P OW1 F L EY0
M AH1 NG,M AH1 NG Y IY0
T AH1 D,T AH1 D Y IY0
OW0 L EY1 G,OW0 L EY1 G Y IY0
UH0 D AH1 B,UH0 D AH1 B Y IY0
UW0 B IH1 M,UW0 B IH1 M Y IY0
EY0 K EH1 N,EY0 K EH1 N Y IY0
M AH0 L IH1,M AH0 L IH1 Y IY0
Z IY0 SH EY1,Z IY0 SH EY1 Y IY0
CH UW1 M,CH UW1 M Y IY0
UW0 N EY1 V,UW0 N EY1 V Y IY0
K UH0 L IY1,K UH0 L IY1 Y IY0
V OW1 B,V OW1 B Y IY0
P IH0 K OW1,P IH0 K OW1 Y IY0
IH0 B OW1 S,IH0 B OW1 S W AH0
UW0 T OW1 V,UW0 T OW1 V Y IY0
IH0 D AH1 M,IH0 D AH1 M Y IY0
F IH0 T UW1,F IH0 T UW1 Y IY0
IH0 F IH1 CH,IH0 F IH1 CH W AH0
CH IH0 N AH1,CH IH0 N AH1 Y IY0
CH EY0 G EY1 B,CH EY0 G EY1 B Y IY0
SH IY0 F UW1 CH,SH IY0 F UW1 CH W AH0
P EY1 F,P EY1 F L EY0
IH0 P UW1 B,IH0 P UW1 B Y IY0
UH0 Z IY1 N,UH0 Z IY1 N Y IY0
G AH1 G,G AH1 G Y IY0
N AH0 K EH1,N AH0 K EH1 Y IY0
L EH0 L AH1 F,L EH0 L AH1 F L EY0
Z IH1 G,Z IH1 G Y IY0
P OW0 SH EH1 M,P OW0 SH EH1 M Y IY0
T UW0 N UW1 M,T UW0 N UW1 M Y IY0
SH EY1 B,SH EY1 B Y IY0
OW0 S EY1 N,OW0 S EY1 N Y IY0
N IY1 CH,N IY1 CH W AH0
V EY0 N EY1 G,V EY0 N EY1 G Y IY0
B UH0 T IY1,B UH0 T IY1 Y IY0
JH IH0 SH IH1,JH IH0 SH IH1 Y IY0
M IH0 JH EY1,M IH0 JH EY1 Y IY0
P OW0 Z EY1,P OW0 Z EY1 Y IY0
G OW1 Z,G OW1 Z W AH0
S EH0 M IH1 F,S EH0 M IH1 F L EY0
G IY0 T AH1,G IY0 T AH1 Y IY0
B UH0 SH IH1,B UH0 SH IH1 Y IY0
CH OW1 D,CH OW1 D Y IY0
EY0 F UH1 T,EY0 F UH1 T L EY0
M UW0 Z IH1 M,M UW0 Z IH1 M Y IY0
L OW1 S,L OW1 S W AH0
IY0 P EH1 T,IY0 P EH1 T L EY0
EY0 B EY1 M,EY0 B EY1 M Y IY0
P IH1 B,P IH1 B Y IY0
M IH0 SH IY1,M IH0 SH IY1 Y IY0
UH0 T OW1 N,UH0 T OW1 N Y IY0
G IH0 S OW1,G IH0 S OW1 Y IY0
CH OW0 T IY1 Z,CH OW0 T IY1 Z W AH0
D IY1 M,D IY1 M Y IY0
B OW1 V,B OW1 V Y IY0
L AH0 L IH1 V,L AH0 L IH1 V Y IY0
G UW0 B AH1 V,G UW0 B AH1 V Y IY0
B IH1 S,B IH1 S W AH0
F UW0 M IY1,F UW0 M IY1 Y IY0
S AH0 D EH1 D,S AH0 D EH1 D Y IY0
EY0 K EY1 D,EY0 K EY1 D Y IY0
T IY0 D OW1 P,T IY0 D OW1 P L EY0
UW0 B IH1 CH,UW0 B IH1 CH W AH0
K UH0 S OW1,K UH0 S OW1 Y IY0
M EY1 B,M EY1 B Y IY0
S UH0 Z UW1 V,S UH0 Z UW1 V Y IY0
B IH1 M,B IH1 M Y IY0
P OW1 N,P OW1 N Y IY0
EY0 F UH1 K,EY0 F UH1 K L EY0
V OW1 V,V OW1 V Y IY0
N UH0 K AH1 JH,N UH0 K AH1 JH W AH0
T UW0 G UW1 B,T UW0 G UW1 B Y IY0
N IY0 CH UW1,N IY0 CH UW1 Y IY0
AH0 JH UW1 P,AH0 JH UW1 P L EY0
JH UW0 Z AH1,JH UW0 Z AH1 Y IY0
L EH1 N,L EH1 N Y IY0
P OW0 Z IH1 D,P OW0 Z IH1 D Y IY0
Z IH1 N,Z IH1 N Y IY0
UW0 B EY1 K,UW0 B EY1 K L EY0
B UW0 B OW1 V,B UW0 B OW1 V Y IY0
EH0 CH UW1 B,EH0 CH UW1 B Y IY0
AH0 S UH1 D,AH0 S UH1 D Y IY0
IH0 N AH1 N,IH0 N AH1 N Y IY0
G EH0 S UH1 D,G EH0 S UH1 D Y IY0
T EH1 T,T EH1 T L EY0
UW0 Z IY1 M,UW0 Z IY1 M Y IY0
N UH0 K OW1,N UH0 K OW1 Y IY0
N AH0 Z IY1 D,N AH0 Z IY1 D Y IY0
M EH0 SH EH1,M EH0 SH EH1 Y IY0
F IY0 P IH1 M,F IY0 P IH1 M Y IY0
D AH0 M OW1,D AH0 M OW1 Y IY0
SH EH1 K,SH EH1 K L EY0
JH IH0 B IY1,JH IH0 B IY1 Y IY0
T UW0 B OW1,T UW0 B OW1 Y IY0
V AH1 N,V AH1 N Y IY0
D AH0 L IY1 K,D AH0 L IY1 K L EY0
D UW0 JH AH1,D UW0 JH AH1 Y IY0
OW0 N EY1 N,OW0 N EY1 N Y IY0
EY0 JH OW1 V,EY0 JH OW1 V Y IY0
AH0 K AH1 D,AH0 K AH1 D Y IY0
OW0 T EY1 D,OW0 T EY1 D Y IY0
SH UW1 V,SH UW1 V Y IY0
B UW0 N UH1 D,B UW0 N UH1 D Y IY0
OW0 JH AH1 V,OW0 JH AH1 V Y IY0
UW0 JH AH1 Z,UW0 JH AH1 Z W AH0
IY0 S EY1 G,IY0 S EY1 G Y IY0
K UW1 B,K UW1 B Y IY0
V EH0 N EH1 NG,V EH0 N EH1 NG Y IY0
F EH0 N UW1 B,F EH0 N UW1 B Y IY0
AH0 F EY1 M,AH0 F EY1 M Y IY0
M OW0 G IH1 N,M OW0 G IH1 N Y IY0
UH0 L AH1 NG,UH0 L AH1 NG Y IY0
CH OW1 B,CH OW1 B Y IY0
P EY1 M,P EY1 M Y IY0
V OW0 T OW1 P,V OW0 T OW1 P L EY0
Z IH0 G IH1 M,Z IH0 G IH1 M Y IY0
IH0 JH IH1 N,IH0 JH IH1 N Y IY0
G IY1 P,G IY1 P L EY0
N UH0 K UW1 M,N UH0 K UW1 M Y IY0
AH0 D OW1 D,AH0 D OW1 D Y IY0
CH EY0 Z EY1,CH EY0 Z EY1 Y IY0
SH IY0 K AH1 M,SH IY0 K AH1 M Y IY0
IY0 JH AH1 K,IY0 JH AH1 K L EY0
Z EY0 JH IH1,Z EY0 JH IH1 Y IY0
UW0 F EH1 K,UW0 F EH1 K L EY0
G AH0 M EH1,G AH0 M EH1 Y IY0
JH AH1 V,JH AH1 V Y IY0
M EH0 B AH1 V,M EH0 B AH1 V Y IY0
M EH0 SH IY1 V,M EH0 SH IY1 V Y IY0
T OW0 B IH1 M,T OW0 B IH1 M Y IY0
T EY1 M,T EY1 M Y IY0
AH0 P EY1 D,AH0 P EY1 D Y IY0
T EH0 M EH1 D,T EH0 M EH1 D Y IY0
UW0 V OW1 CH,UW0 V OW1 CH W AH0
K EH0 S OW1,K EH0 S OW1 Y IY0
K UH1 D,K UH1 D Y IY0
G UW0 Z OW1,G UW0 Z OW1 Y IY0
K UH0 SH AH1 P,K UH0 SH AH1 P L EY0
Z AH1 V,Z AH1 V Y IY0
OW0 K EY1 V,OW0 K EY1 V Y IY0
OW0 P EH1 D,OW0 P EH1 D Y IY0
EY0 G UW1 D,EY0 G UW1 D Y IY0
K AH1 K,K AH1 K L EY0
G EY1 B,G EY1 B Y IY0
N EH0 L UW1 N,N EH0 L UW1 N Y IY0
SH OW0 N EY1,SH OW0 N EY1 Y IY0
IY0 K AH1 F,IY0 K AH1 F L EY0
D EH1 M,D EH1 M Y IY0
EY0 K EH1 T,EY0 K EH1 T L EY0
K IY1 V,K IY1 V Y IY0
IH0 SH UW1 V,IH0 SH UW1 V Y IY0
V EY0 S UH1 SH,V EY0 S UH1 SH W AH0
P IH0 B EY1,P IH0 B EY1 Y IY0
JH EH0 S IY1,JH EH0 S IY1 Y IY0
N IH1 V,N IH1 V Y IY0
S OW0 L AH1,S OW0 L AH1 Y IY0
T AH0 V EH1 N,T AH0 V EH1 N Y IY0
L EH0 F IY1,L EH0 F IY1 Y IY0
IY0 CH IH1 D,IY0 CH IH1 D Y IY0
S UW0 M IY1 F,S UW0 M IY1 F L EY0
F UW0 Z EY1,F UW0 Z EY1 Y IY0
G IH0 S EH1 K,G IH0 S EH1 K L EY0
L UH0 L OW1 D,L UH0 L OW1 D Y IY0
K UH0 T OW1,K UH0 T OW1 Y IY0
Z AH1 NG,Z AH1 NG Y IY0
F EY0 K UW1,F EY0 K UW1 Y IY0
L UH0 K UH1,L UH0 K UH1 Y IY0
SH AH0 B EH1 N,SH AH0 B EH1 N Y IY0
JH EH0 Z IY1 V,JH EH0 Z IY1 V Y IY0
CH AH0 M IH1 B,CH AH0 M IH1 B Y IY0
CH AH0 CH OW1 N,CH AH0 CH OW1 N Y IY0
IH0 P EH1 N,IH0 P EH1 N Y IY0
JH EH0 B AH1 M,JH EH0 B AH1 M Y IY0
CH EY0 G EY1,CH EY0 G EY1 Y IY0
IY0 B UW1 D,IY0 B UW1 D Y IY0
AH0 JH OW1 V,AH0 JH OW1 V Y IY0
L IH1 N,L IH1 N Y IY0
OW0 M UW1 ZH,OW0 M UW1 ZH W AH0
L OW1 K,L OW1 K L EY0
CH EH1 JH,CH EH1 JH W AH0
CH UW1 SH,CH UW1 SH W AH0
UH0 D EY1 N,UH0 D EY1 N Y IY0
Z UW0 Z IY1,Z UW0 Z IY1 Y IY0
Z IH1 B,Z IH1 B Y IY0
EH0 SH EH1 M,EH0 SH EH1 M Y IY0
UW0 SH AH1 V,UW0 SH AH1 V Y IY0
K UH0 D IY1,K UH0 D IY1 Y IY0
SH UW0 V UH1,SH UW0 V UH1 Y IY0
F OW0 L IY1,F OW0 L IY1 Y IY0
T UW0 D AH1 S,T UW0 D AH1 S W AH0
S UH1 D,S UH1 D Y IY0
L EY1 V,L EY1 V Y IY0
D IH0 P OW1 M,D IH0 P OW1 M Y IY0
G EH1 D,G EH1 D Y IY0
SH IY1 M,SH IY1 M Y IY0
B EH1 NG,B EH1 NG Y IY0
EY0 K IH1 P,EY0 K IH1 P L EY0
K UH0 K IH1 V,K UH0 K IH1 V Y IY0
B OW0 F EY1,B OW0 F EY1 Y IY0
K EY0 S IH1,K EY0 S IH1 Y IY0
P UW1 N,P UW1 N Y IY0
SH IY0 S EH1,SH IY0 S EH1 Y IY0
JH IH0 SH OW1 K,JH IH0 SH OW1 K L EY0
P IY0 Z IH1 T,P IY0 Z IH1 T L EY0
Z EH0 B OW1 N,Z EH0 B OW1 N Y IY0
UW0 SH EY1 N,UW0 SH EY1 N Y IY0
N EY1 N,N EY1 N Y IY0
N EY0 T EY1 D,N EY0 T EY1 D Y IY0
Z AH1 D,Z AH1 D Y IY0
V EH0 S OW1 D,V EH0 S OW1 D Y IY0
T IH0 P IH1,T IH0 P IH1 Y IY0
Z IH0 S AH1,Z IH0 S AH1 Y IY0
S EH0 S EY1 G,S EH0 S EY1 G Y IY0
CH IH1 M,CH IH1 M Y IY0
N AH0 M EY1 D,N AH0 M EY1 D Y IY0
Z OW0 M EY1 D,Z OW0 M EY1 D Y IY0
IY0 M EY1 M,IY0 M EY1 M Y IY0
K EH0 D OW1 JH,K EH0 D OW1 JH W AH0
OW0 S UH1 SH,OW0 S UH1 SH W AH0
G EH1 CH,G EH1 CH W AH0
S UH0 D UW1,S UH0 D UW1 Y IY0
EY0 S EY1 B,EY0 S EY1 B Y IY0
L AH0 N IH1,L AH0 N IH1 Y IY0
JH UW1 V,JH UW1 V Y IY0
CH AH1 NG,CH AH1 NG Y IY0
CH EY0 Z EY1 B,CH EY0 Z EY1 B Y IY0
N IH0 D EY1 N,N IH0 D EY1 N Y IY0
IY0 V UH1 K,IY0 V UH1 K L EY0
JH EY0 JH IY1,JH EY0 JH IY1 Y IY0
UH0 T OW1 B,UH0 T OW1 B Y IY0
V IH0 G EH1,V IH0 G EH1 Y IY0
JH IH1 SH,JH IH1 SH W AH0
S OW1 V,S OW1 V Y IY0
UW0 JH AH1 G,UW0 JH AH1 G Y IY0
EY0 L IY1 CH,EY0 L IY1 CH W AH0
SH IY0 S IY1,SH IY0 S IY1 Y IY0
T EY0 K IY1 G,T EY0 K IY1 G Y IY0
EH0 N AH1 B,EH0 N AH1 B Y IY0
CH OW1 V,CH OW1 V Y IY0
D UW0 F OW1 N,D UW0 F OW1 N Y IY0
P IY0 CH OW1,P IY0 CH OW1 Y IY0
S IY0 D IY1 G,S IY0 D IY1 G Y IY0
F EY0 SH AH1,F EY0 SH AH1 Y IY0
OW0 P EH1 NG,OW0 P EH1 NG Y IY0
K EH1 T,K EH1 T L EY0
D UW0 N IY1 N,D UW0 N IY1 N Y IY0
G UH0 K OW1 V,G UH0 K OW1 V Y IY0
JH UW0 P UW1 M,JH UW0 P UW1 M Y IY0
OW0 Z EH1 NG,OW0 Z EH1 NG Y IY0
B AH0 CH IY1,B AH0 CH IY1 Y IY0
F EY0 SH EY1 M,F EY0 SH EY1 M Y IY0
D AH0 K EH1 N,D AH0 K EH1 N Y IY0
M UW0 G IH1 N,M UW0 G IH1 N Y IY0
L UH1 T,L UH1 T L EY0
UH0 K AH1 B,UH0 K AH1 B Y IY0
V AH0 N IH1 V,V AH0 N IH1 V Y IY0
B EY0 S UH1,B EY0 S UH1 Y IY0
S OW1 G,S OW1 G Y IY0
S IH0 JH IH1,S IH0 JH IH1 Y IY0
B IH1 G,B IH1 G Y IY0
G IH1 M,G IH1 M Y IY0
V UH0 D EH1 NG,V UH0 D EH1 NG Y IY0
L EH0 P UH1 D,L EH0 P UH1 D Y IY0
EY0 L EH1 D,EY0 L EH1 D Y IY0
S UH1 SH,S UH1 SH W AH0
L AH0 P IY1,L AH0 P IY1 Y IY0
AH0 S IH1 V,AH0 S IH1 V Y IY0
CH IH0 F IY1,CH IH0 F IY1 Y IY0
SH EH1 M,SH EH1 M Y IY0
D OW0 M IY1 M,D OW0 M IY1 M Y IY0
CH UW0 D OW1 N,CH UW0 D OW1 N Y IY0
JH IY1 K,JH IY1 K L EY0
G AH0 Z AH1 B,G AH0 Z AH1 B Y IY0
P UW0 SH EH1 N,P UW0 SH EH1 N Y IY0
AH0 K UW1 D,AH0 K UW1 D Y IY0
N UW0 S UW1 M,N UW0 S UW1 M Y IY0
T OW0 D EH1,T OW0 D EH1 Y IY0
